,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50
met44,1042323.199,851650.6667,1763329.455,714826.5832,1211947.369,993323.5913,1215173.873,1397226.847,2132813.62,1972239.687,,566552.2585,85768.91083,3661851.878,594388.0544,2186464.961,22799.40958,1235970.346,1192465.963,2825942.079,610603.309,203372.5672,169570.2721,812105.6587,1457281.295,271217.4024,1391896.575,2151189.105,80199.23844,695383.5877,1648791.37,740911.2456,1926016.901,1645698.683,2347579.972,1379065.246,3809814.812,1251427.941,1492546.501,1988269.744,174034.386,265433.2553,306536.8157,149105.9133,878853.4445,1166888.592,192171.789,2322198.392,94757.31458,1567644.642
met45,43730166.14,48193304.3,154359.9276,38515136,21541909.16,10594048,152387609.1,43771072,257507328.2,229358657.3,73271447.92,9835816.287,9554186.94,303124114.2,53654202.35,21686666.79,30453674.79,64308017.39,55988299.93,175538724.7,239886316.6,558285.7641,13320462.36,15865386.77,228779354.5,20254568.7,76534672.99,159448303.9,16808640,91754359.28,70322457.25,31500029.78,206147124.5,171265407,180617207.5,26730758.88,438246755,209062464,258482269.3,68144086.02,6503113.64,112851776,9320207.033,5146597.118,17622245.12,117305896.9,33975872,14000320,1644768,117397241.3
met46,203903.8869,430.8884068,3319169.346,152907.9498,1640749.968,1026982.68,5461053.011,3321419.369,4994553.645,8823551.399,2032084.001,591885.9781,124352.2624,6359053.678,2115322.872,5173394.77,279720.8598,990837.5822,382212.2127,8818221.592,4028414.428,174978,464649.4682,1189241.421,21101137.27,784945.5747,1367577.035,3824808.489,102705.5327,940125,515469.5005,185730.3008,8671170.555,2058303.775,5832906.554,721816.5175,3729444.914,9056358.92,5473815.33,1568674.162,1933858.665,1055776.658,22881.2724,2794390.776,288914.3905,6381822.314,7920465.35,10030040.35,35358.60286,222567.8233
met47,540845.9022,271319.1112,27642571.41,950624.5303,25113500.19,9167986.749,28250454.5,5789597.321,632246.0744,22716169.6,6384667.586,2307142.827,9427352.554,18716894.31,35537643.9,23489098.05,1381516.538,11940405.9,1735142.239,92990377.51,5222684.098,19158446.4,369355.5205,21153948.73,11520921.44,81521437.49,2131243.08,32722755.87,18450554.82,2905399.18,4091739.287,17391763.34,2230526.479,162007.964,3013470.115,8844055.426,1442458.023,28206254.53,696803.9069,14847291.09,7018659.355,170101.2006,32331484.72,10551848.21,20859676.46,11664225.22,3985484.423,18067550.34,35569.00334,177377.2198
met48,,,,,,,,,,,86873455.58,20203559.9,10704831.11,105707104.5,199550290.2,134798408,2281789.84,77807871.86,10706513.39,330422512.7,,,,,,,,,,,,1261854.901,,,,,,,,,,,,,,,32125439.27,,,
met49,606972.6472,571196.3538,17355.3474,690107.3449,486870.7976,562313.5598,1776630.977,1473652.704,1953891.845,3587345.263,,269971.0376,172544.0622,2097975.686,1029434.622,1177058.592,441379.6812,145646.511,11300.22313,10502732.55,753138.3694,1298751.835,343880.2725,451141.2717,739599.8633,520572.3586,714191.449,3742770.452,283268.1685,361074.7121,646902.4109,670287.6026,3037011.634,1174315.435,3851433.707,180579.1954,1415277.363,4589474.825,51886.10632,738230.9951,2140497.833,281228.5904,5018611.594,3902733.337,964278.4468,931226.6861,285036.9528,1362002.92,,6754.739778
met50,15750145.97,2274737.553,14483708.28,11569664,9993078.686,3325727.111,3728205.763,8762275.06,8780450.976,7445028.22,4728776.346,13583872,17879744,11200389.3,5264704,6397975.318,577120.5908,8663296,312.8589404,11615104,9823593.855,13288641.27,33563373.92,6890425.924,4903695.602,225495.8579,5534868.597,19243456,10886080,14831821.71,7317886.604,12002605.82,3423584.993,12601418.79,12349940.98,6811526.692,29652307.71,7778752,2265917.383,6567022.658,20830656,,11002274.63,555883.3927,5595227.25,11817536,17306624,13370390.97,405039.458,12971550.89
met51,5243208.393,8080152.225,20444352,5245208.168,6371558.325,5370094.651,4223240.101,10784512,15891027.08,8932554.854,11534394.85,525426.1141,8450692.964,4828738.914,1776176.787,5170394.601,1453120,6797077.458,1913503.169,29246894.58,12497781.28,21402677.58,11112960,8307121.383,12311731.96,5002496,2838300.974,9943210.567,3183089.442,21553152,2571819.669,13080704,3423584.993,6973084.519,10065735.7,21820094.58,9619098.971,7654044.195,4779.409928,6021132.402,805284.0167,,4389104.6,6263872,3124835.379,17022228.88,9416988.542,11195833.64,405039.458,10665981.62
met52,,,,,,,,,,,8873988.999,4591036.389,,,,,,,8121531.748,,,,,,,957872.7466,,,,,,,,,,,,,,,,,,,,,,,,
met53,,,621415.8495,,165790.9002,145219.0338,658297.9779,83116.95193,1675178.914,1080645.686,678858.8779,933471.1956,133762.1815,619521.8807,260432.4673,137301.815,621793.9743,500676.4664,828867.2148,488212.7786,710529.6527,633807.6453,311213.7369,134318.1644,893590.6035,360020.5735,737372.5021,749981.4396,163385.7777,1301683.921,33540.26724,,1696215.57,79654.82591,1088775.852,243761.9465,,1222346.248,720665.2701,71648.23439,2058039.494,1027082.206,933295.1604,1661970.512,266130.7488,91762.93621,982817.2005,786530.5861,137549.6304,
met54,,,,,,,,,,,5056152.813,13374555.92,2200061.476,,,,9373600.728,,,,,,,,,52858.89269,,123345.382,399708.3817,,,,,,,,,,,,,,,,,,,28692.75451,,
met55,13635081.39,4183488,4198232.425,14746412.38,12869793.61,6279994.286,7484744,16373067.32,9449984,13397384,14124254.07,20275472,14188138.61,6993792.368,6333218.5,4736256.518,5214093.682,13861319.38,13838967.49,23312352,11272117.68,24961072.22,19731216,3976231.236,14610040.3,4176990.397,12443555,8723154.934,7691696,5960427.163,7971993.882,6942891.773,118595.9082,14589231.47,36396840,21661432.1,24654705.64,8043893.441,2181562.012,9605369.846,5702661.948,2016520.289,5775944,16850191.3,8193646.54,23977250.39,18211922.25,13311392,1812103.7,6849368
met56,,,,,,,,,,,12411185.86,10600658.05,1545064.915,16915632.98,13586120.53,18065461.06,6335228.49,14825438.98,345006.6347,21659768.53,,,,,,,,,,,,,,,,,,,,,,,,,,,7192797.969,,,
met57,617099280,323182454,1113256688,575181550,1180996273,835142751,1104160194,795944291,1343365161,1220119462,1002016112,612487363,451837143,1072664842,902375332,928059900,366554576,752349189,607920434,1183025012,1022186653,955718723,743377539,1096791670,1115353858,910144018,1081539781,1164582258,1208745414,1160670856,839855292,528748133,1214055119,1046753581,1246337386,1087558129,1241343881,1230551608,1436804703,1091523694,1169997484,1093009104,527858954,1182287356,1125365437,942444886,997169525,1269679770,3494545,828680948
met58,10629722.75,518511.3074,3116758.769,98605.52377,2310466.032,24234129.95,1801496.004,11622566.35,1992535.63,4025107.388,8360053.729,20061459.25,427934.2658,1518586.35,515000.885,4480764.365,90949.83721,14578756.82,20256087.99,2759036.854,1471342.001,17415.49845,1458151.944,6009628.479,1741368.264,1184135.331,1806174.695,1500825.382,3220556.96,316304.4431,28691032.75,50944225.56,2445516.004,5985948.979,2965321.802,19873954.58,4375256.817,3291452.002,1800416.488,9053734.448,230324.2014,513691.1737,194172.4472,409396.0152,1504777.108,1749267.876,179865.3943,8797462.197,192591.511,10677437.2
met59,1610030755,63535832,1625813316,1930349647,1909221637,1525747116,1266091377,1880616085,1415282626,1734117578,2083659875,2138408732,1820765390,1972630389,748040512,1567408296,488905689,2034494779,1696855599,1790702869,2084831940,1193803492,1916788615,1610662230,1833831600,1101533494,1376700296,1785314182,1365097535,1027697911,1661620204,1883100651,2066836731,2128700532,1646621991,1745239205,2146805777,1743784060,1000754652,2116713096,1114292084,868093338,353430872,1029639757,1719904009,1733900084,1411853509,1296002800,,1559529298
met60,,,,,,,,,,,14719882.78,9623781.017,2431222.844,13256587.4,12144082.26,22745016.91,,19233008.78,9725971.685,18918161.43,,,,,,,,,,,,,,,,,,,,,,,,,,,3233901.12,,,
